Requisitos - Categorias,Identificação,Descrição
,RF - 33,O sistema deve permitir ao cliente informar ou ajustar os dados de pagamento do pedido.
,RF - 34,O sistema deve permitir a escolha do tipo de cartão dentre as opções disponibilizadas pela aplicação.
,RF - 35,O sistema deve permitir que o cliente indique um endereço de entrega diferente do endereço de cobrança.
,RF - 36,"Quando o cliente optar por endereço de entrega diferente, o sistema deve apresentar uma etapa específica para preenchimento desse endereço."
,RF - 37,"Antes da finalização, o sistema deve apresentar uma etapa de confirmação com os dados de cobrança e entrega informados."
,RF - 38,O sistema deve concluir o pedido somente após a confirmação explícita do cliente.
,RF - 39,"Ao concluir o pedido, o sistema deve gerar um identificador único para a compra."
,RF - 40,"Ao concluir o pedido, o sistema deve registrar a data da compra, os itens adquiridos, as quantidades, os valores e a situação inicial do pedido."
,RF - 41,"Após a conclusão da compra, o sistema deve limpar o carrinho do cliente."
,RF - 42,"Após a conclusão da compra, o sistema deve exibir mensagem de confirmação de recebimento do pedido."
Consulta de Pedidos,RF - 43,O sistema deve permitir que o cliente consulte a lista de seus pedidos já realizados.
,RF - 44,"O sistema deve apresentar, na listagem de pedidos, ao menos o número do pedido, a data e o valor total."
,RF - 45,O sistema deve permitir a consulta do detalhamento de um pedido específico.
,RF - 46,"No detalhamento do pedido, o sistema deve apresentar dados de pagamento, endereços, transportadora, status, itens comprados, quantidades, preços e valor total da compra."
,RF - 47,O sistema deve restringir a visualização de pedidos ao respectivo cliente responsável pela compra.
Segurança e Controle de Acesso,RNF - 48,O sistema deve proteger as funcionalidades de fechamento de compra e consulta de pedidos por meio de autenticação do cliente.
,RNF - 49,"O sistema deve encerrar adequadamente a sessão do cliente no processo de logout, evitando a continuidade indevida do acesso autenticado."
,RNF - 50,O sistema não deve expor desnecessariamente a senha do cliente durante a navegação após o login.
Integridade e Consistência das Informações,RNF - 51,"O sistema deve manter consistência entre carrinho, pedido e estoque, evitando divergências entre a compra realizada e os itens registrados."
,RNF - 52,"O sistema deve garantir que o pedido seja registrado com todos os seus elementos principais, incluindo cabeçalho, status e itens comprados."
,RNF - 53,"O sistema deve garantir unicidade na numeração dos pedidos, permitindo rastreabilidade das compras."
,RNF - 54,"O sistema deve calcular automaticamente valores do carrinho e do pedido, reduzindo risco de erro manual."
Confiabilidade Operacional,RNF - 55,"O sistema deve tratar entradas inválidas de forma controlada, exibindo mensagens adequadas ao usuário sem comprometer a continuidade da aplicação."
,RNF - 56,"O sistema deve impedir operações inconsistentes, como iniciar compra sem autenticação ou tentar manipular itens inexistentes de forma silenciosa."
,RNF - 57,O sistema deve preservar o histórico de pedidos para consulta posterior pelo cliente.
Usabilidade e Experiência de Uso,RNF - 58,"O sistema deve oferecer navegação simples e compreensível, com acesso claro às categorias, busca, carrinho, conta do cliente e ajuda."
,RNF - 59,"O processo de compra deve ser conduzido em etapas lógicas e progressivas, facilitando o entendimento do cliente durante o checkout."
,RNF - 60,"O sistema deve fornecer mensagens de orientação e confirmação em pontos importantes do fluxo, como falha de login, campo de busca vazio e pedido concluído."
Atualização das Informações de Negócio,RNF - 61,O sistema deve consultar a situação de estoque de forma atualizada nos pontos críticos da jornada de compra.
,RNF - 62,"O sistema deve refletir as preferências cadastradas pelo cliente, como lista personalizada e banner associado à categoria favorita."
