Requisitos - Categorias,Identificação,Descrição
,RF - 32,Todo evento logistico deve estar associado a uma carga existente.
,RF - 33,Todo evento logistico deve informar a localidade em que ocorreu e a data de ocorrencia.
,RF - 34,Eventos de embarque e desembarque devem estar associados a viagem correspondente.
,RF - 35,Eventos que nao sejam de embarque ou desembarque nao devem exigir identificacao de viagem.
,RF - 36,"O sistema deve rejeitar tentativas de registro com carga, localidade ou viagem inexistentes."
,RF - 37,O registro de um evento valido deve atualizar a situacao operacional da carga.
,RF - 38,"Apos cada evento valido, o sistema deve recalcular informacoes como status de transporte, localizacao conhecida, proxima etapa esperada e aderencia ao plano."
,RF - 39,"Quando um evento indicar execucao diferente da rota prevista, a carga deve ser marcada como fora de rota."
,RF - 40,"Quando a carga for descarregada no destino final, o sistema deve marca-la como chegada ao destino."
,RF - 41,"Quando a retirada pelo destinatario for registrada, a carga deve ser considerada concluida do ponto de vista logistico."
Canais de operacao e monitoramento,RF - 42,O sistema deve permitir o registro de eventos logisticos por mais de um canal operacional.
,RF - 43,"Entre os canais suportados, deve haver pelo menos interface operacional, servico de integracao e processamento de arquivos de entrada."
,RF - 44,O sistema deve disponibilizar uma visao consolidada das cargas para consumo por canais de monitoramento.
,RF - 45,O sistema deve manter os canais de acompanhamento alinhados com a situacao mais recente de cada carga.
Integridade e consistencia do negocio,RNF - 46,"O sistema deve preservar a consistencia entre cadastro da carga, rota planejada e eventos realizados."
,RNF - 47,Nenhum evento invalido pode alterar o estado da carga.
,RNF - 48,"As regras de origem, destino, prazo e compatibilidade da rota devem ser aplicadas de forma uniforme em todos os canais de operacao."
,RNF - 49,A situacao da carga deve ser recalculada sempre que houver mudanca relevante de planejamento ou execucao.
Rastreabilidade e auditoria operacional,RNF - 50,O sistema deve manter historico suficiente para reconstituir o ciclo logistico da carga.
,RNF - 51,"Cada evento deve conservar, no minimo, o momento em que ocorreu e o momento em que foi registrado no sistema."
,RNF - 52,Tentativas rejeitadas de registro devem ser identificaveis para posterior analise operacional.
,RNF - 53,"O sistema deve permitir distinguir cargas entregues corretamente, cargas ainda em transito e cargas com desvio operacional."
Atualizacao e tempestividade,RNF - 54,A atualizacao da situacao da carga deve ocorrer em tempo adequado ao acompanhamento operacional.
,RNF - 55,O recebimento de eventos deve continuar fluindo mesmo quando o recalculo detalhado da situacao ocorrer em segundo plano.
,RNF - 56,"Entradas recebidas por arquivo devem ser processadas de forma periodica, sem depender de acionamento manual constante."
,RNF - 57, Os canais de monitoramento devem refletir a informacao mais recente disponivel sobre a carga.
Usabilidade operacional,RNF - 58,"As informacoes apresentadas ao usuario devem ser organizadas por situacao de negocio, e nao apenas por estrutura tecnica."
,RNF - 59,"A navegacao operacional deve facilitar tarefas frequentes, como localizar carga, consultar detalhes, escolher rota e registrar evento."
,RNF - 60,"O sistema deve reduzir erros de operacao por meio de listas controladas de localidades, viagens, tipos de evento e identificadores de carga."
,RNF - 61,Mensagens de erro e ausencia de rota devem ser compreensiveis para uso administrativo e logistico.
Resiliencia do processamento,RNF - 62,Falhas em uma tentativa isolada de registro nao devem comprometer o processamento das demais cargas.
,RNF - 63,"Registros recebidos em formato invalido devem ser separados para tratamento posterior, sem interromper o restante da carga de trabalho."
,RNF - 64,"O sistema deve tratar cargas fora da rota como excecoes operacionais visiveis, para permitir acao corretiva rapida."
Interoperabilidade entre canais,RNF - 65,"O sistema deve manter coerencia entre os dados apresentados na interface administrativa, no rastreamento, nos canais moveis e nas integracoes."
,RNF - 66,As informacoes principais da carga devem poder ser trocadas em formatos padronizados para facilitar integracao com outros sistemas.
,RNF - 67,"O modelo de acompanhamento deve ser unico, independentemente do canal usado para registrar ou consultar a carga."
