project_name,provider,model_name,prompt_template,run_id,metric_name,metric_value,metric_category,status,formula_version,notes
7ep,anthropic,claude-opus-4-8,few_shot,run_1,process_fitness,,process,missing_required_data,v1,Missing process/event logs and process model.
7ep,anthropic,claude-opus-4-8,few_shot,run_1,process_precision,,process,missing_required_data,v1,Missing process/event logs and behavioral model.
7ep,anthropic,claude-opus-4-8,zero_shot,run_1,number_of_microservices,4.0,basic,calculated,v1,
7ep,anthropic,claude-opus-4-8,zero_shot,run_1,number_of_communications,3.0,basic,calculated,v1,
7ep,anthropic,claude-opus-4-8,zero_shot,run_1,communication_density,0.25,coupling,calculated,v1,
7ep,anthropic,claude-opus-4-8,zero_shot,run_1,average_outgoing_communications,0.75,coupling,calculated,v1,
7ep,anthropic,claude-opus-4-8,zero_shot,run_1,isolated_services_count,1.0,basic,calculated,v1,
7ep,anthropic,claude-opus-4-8,zero_shot,run_1,isolated_services_ratio,0.25,basic,calculated,v1,
7ep,anthropic,claude-opus-4-8,zero_shot,run_1,average_responsibility_length,28.75,basic,calculated,v1,
7ep,anthropic,claude-opus-4-8,zero_shot,run_1,declared_inter_service_coupling,0.25,coupling,calculated,v1_textual_declared_graph,Calculated from declared communicates_with edges only; not structural coupling.
7ep,anthropic,claude-opus-4-8,zero_shot,run_1,cohesion_message_level_chm,,cohesion,missing_required_data,v1,Missing public-operation message signatures mapped to microservices.
7ep,anthropic,claude-opus-4-8,zero_shot,run_1,cohesion_domain_level_chd,,cohesion,missing_required_data,v1,Missing component-to-service mapping or internal artifact inventory.
7ep,anthropic,claude-opus-4-8,zero_shot,run_1,responsibility_domain_similarity,0.08219,cohesion,calculated_fallback,v1_textual_fallback,Calculated from responsibility text only; this is not real CHD.
7ep,anthropic,claude-opus-4-8,zero_shot,run_1,relational_cohesion_rc,,cohesion,missing_required_data,v1,Missing component-to-service mapping or structural dependency graph.
7ep,anthropic,claude-opus-4-8,zero_shot,run_1,afferent_coupling_ac,,coupling,missing_required_data,v1,Missing component-to-service mapping or structural dependency graph.
7ep,anthropic,claude-opus-4-8,zero_shot,run_1,efferent_coupling_ec,,coupling,missing_required_data,v1,Missing component-to-service mapping or structural dependency graph.
7ep,anthropic,claude-opus-4-8,zero_shot,run_1,instability,,coupling,missing_required_data,v1,Missing AC/EC prerequisites: component-to-service mapping or structural dependencies.
7ep,anthropic,claude-opus-4-8,zero_shot,run_1,inter_microservices_coupling,,coupling,missing_required_data,v1,Missing component-to-service mapping or structural dependency graph.
7ep,anthropic,claude-opus-4-8,zero_shot,run_1,structural_modularity_quality_smq,,modularity,missing_required_data,v1,Missing structural cohesion or structural coupling prerequisites.
7ep,anthropic,claude-opus-4-8,zero_shot,run_1,interface_number_ifn,,modularity,missing_required_data,v1,Missing endpoints/interfaces or component-to-service mapping.
7ep,anthropic,claude-opus-4-8,zero_shot,run_1,non_extreme_distribution_ned,0.5,modularity,calculated_fallback,v1_textual_fallback,"Fallback size estimated from responsibility token count only; not structural service size. Bounds: min=5, max=20."
7ep,anthropic,claude-opus-4-8,zero_shot,run_1,business_context_purity_bcp,,domain,missing_required_data,v1,Missing requirement-to-service or feature-to-service mapping.
7ep,anthropic,claude-opus-4-8,zero_shot,run_1,requirement_service_semantic_alignment,0.034293,domain,calculated_fallback,v1_textual_fallback,Textual semantic alignment between service responsibilities and requirements; not real BCP.
7ep,anthropic,claude-opus-4-8,zero_shot,run_1,feature_modularization,,domain,missing_required_data,v1,Missing feature/requirement-to-service mapping.
7ep,anthropic,claude-opus-4-8,zero_shot,run_1,data_independence_da,,domain,missing_required_data,v1,Missing data-access map and component-to-service mapping.
7ep,anthropic,claude-opus-4-8,zero_shot,run_1,inter_call_percentage_icp,,runtime,missing_required_data,v1,Missing runtime logs and component-to-service mapping for real runtime calls.
7ep,anthropic,claude-opus-4-8,zero_shot,run_1,network_overhead,,runtime,missing_required_data,v1,Missing runtime logs or payload size information.
7ep,anthropic,claude-opus-4-8,zero_shot,run_1,process_fitness,,process,missing_required_data,v1,Missing process/event logs and process model.
7ep,anthropic,claude-opus-4-8,zero_shot,run_1,process_precision,,process,missing_required_data,v1,Missing process/event logs and behavioral model.
7ep,deepseek,deepseek-chat,few_shot,run_1,number_of_microservices,3.0,basic,calculated,v1,
7ep,deepseek,deepseek-chat,few_shot,run_1,number_of_communications,2.0,basic,calculated,v1,
7ep,deepseek,deepseek-chat,few_shot,run_1,communication_density,0.333333,coupling,calculated,v1,
7ep,deepseek,deepseek-chat,few_shot,run_1,average_outgoing_communications,0.666667,coupling,calculated,v1,
7ep,deepseek,deepseek-chat,few_shot,run_1,isolated_services_count,1.0,basic,calculated,v1,
7ep,deepseek,deepseek-chat,few_shot,run_1,isolated_services_ratio,0.333333,basic,calculated,v1,
7ep,deepseek,deepseek-chat,few_shot,run_1,average_responsibility_length,10.333333,basic,calculated,v1,
7ep,deepseek,deepseek-chat,few_shot,run_1,declared_inter_service_coupling,0.333333,coupling,calculated,v1_textual_declared_graph,Calculated from declared communicates_with edges only; not structural coupling.
7ep,deepseek,deepseek-chat,few_shot,run_1,cohesion_message_level_chm,,cohesion,missing_required_data,v1,Missing public-operation message signatures mapped to microservices.
7ep,deepseek,deepseek-chat,few_shot,run_1,cohesion_domain_level_chd,,cohesion,missing_required_data,v1,Missing component-to-service mapping or internal artifact inventory.
7ep,deepseek,deepseek-chat,few_shot,run_1,responsibility_domain_similarity,0.104167,cohesion,calculated_fallback,v1_textual_fallback,Calculated from responsibility text only; this is not real CHD.
7ep,deepseek,deepseek-chat,few_shot,run_1,relational_cohesion_rc,,cohesion,missing_required_data,v1,Missing component-to-service mapping or structural dependency graph.
7ep,deepseek,deepseek-chat,few_shot,run_1,afferent_coupling_ac,,coupling,missing_required_data,v1,Missing component-to-service mapping or structural dependency graph.
7ep,deepseek,deepseek-chat,few_shot,run_1,efferent_coupling_ec,,coupling,missing_required_data,v1,Missing component-to-service mapping or structural dependency graph.
7ep,deepseek,deepseek-chat,few_shot,run_1,instability,,coupling,missing_required_data,v1,Missing AC/EC prerequisites: component-to-service mapping or structural dependencies.
7ep,deepseek,deepseek-chat,few_shot,run_1,inter_microservices_coupling,,coupling,missing_required_data,v1,Missing component-to-service mapping or structural dependency graph.
7ep,deepseek,deepseek-chat,few_shot,run_1,structural_modularity_quality_smq,,modularity,missing_required_data,v1,Missing structural cohesion or structural coupling prerequisites.
7ep,deepseek,deepseek-chat,few_shot,run_1,interface_number_ifn,,modularity,missing_required_data,v1,Missing endpoints/interfaces or component-to-service mapping.
7ep,deepseek,deepseek-chat,few_shot,run_1,non_extreme_distribution_ned,1.0,modularity,calculated_fallback,v1_textual_fallback,"Fallback size estimated from responsibility token count only; not structural service size. Bounds: min=5, max=20."
7ep,deepseek,deepseek-chat,few_shot,run_1,business_context_purity_bcp,,domain,missing_required_data,v1,Missing requirement-to-service or feature-to-service mapping.
7ep,deepseek,deepseek-chat,few_shot,run_1,requirement_service_semantic_alignment,0.015873,domain,calculated_fallback,v1_textual_fallback,Textual semantic alignment between service responsibilities and requirements; not real BCP.
7ep,deepseek,deepseek-chat,few_shot,run_1,feature_modularization,,domain,missing_required_data,v1,Missing feature/requirement-to-service mapping.
7ep,deepseek,deepseek-chat,few_shot,run_1,data_independence_da,,domain,missing_required_data,v1,Missing data-access map and component-to-service mapping.
7ep,deepseek,deepseek-chat,few_shot,run_1,inter_call_percentage_icp,,runtime,missing_required_data,v1,Missing runtime logs and component-to-service mapping for real runtime calls.
7ep,deepseek,deepseek-chat,few_shot,run_1,network_overhead,,runtime,missing_required_data,v1,Missing runtime logs or payload size information.
7ep,deepseek,deepseek-chat,few_shot,run_1,process_fitness,,process,missing_required_data,v1,Missing process/event logs and process model.
7ep,deepseek,deepseek-chat,few_shot,run_1,process_precision,,process,missing_required_data,v1,Missing process/event logs and behavioral model.
7ep,deepseek,deepseek-chat,zero_shot,run_1,number_of_microservices,4.0,basic,calculated,v1,
7ep,deepseek,deepseek-chat,zero_shot,run_1,number_of_communications,6.0,basic,calculated,v1,
7ep,deepseek,deepseek-chat,zero_shot,run_1,communication_density,0.5,coupling,calculated,v1,
7ep,deepseek,deepseek-chat,zero_shot,run_1,average_outgoing_communications,1.5,coupling,calculated,v1,
7ep,deepseek,deepseek-chat,zero_shot,run_1,isolated_services_count,1.0,basic,calculated,v1,
7ep,deepseek,deepseek-chat,zero_shot,run_1,isolated_services_ratio,0.25,basic,calculated,v1,
7ep,deepseek,deepseek-chat,zero_shot,run_1,average_responsibility_length,17.5,basic,calculated,v1,
7ep,deepseek,deepseek-chat,zero_shot,run_1,declared_inter_service_coupling,0.5,coupling,calculated,v1_textual_declared_graph,Calculated from declared communicates_with edges only; not structural coupling.
7ep,deepseek,deepseek-chat,zero_shot,run_1,cohesion_message_level_chm,,cohesion,missing_required_data,v1,Missing public-operation message signatures mapped to microservices.
7ep,deepseek,deepseek-chat,zero_shot,run_1,cohesion_domain_level_chd,,cohesion,missing_required_data,v1,Missing component-to-service mapping or internal artifact inventory.
7ep,deepseek,deepseek-chat,zero_shot,run_1,responsibility_domain_similarity,0.051984,cohesion,calculated_fallback,v1_textual_fallback,Calculated from responsibility text only; this is not real CHD.
7ep,deepseek,deepseek-chat,zero_shot,run_1,relational_cohesion_rc,,cohesion,missing_required_data,v1,Missing component-to-service mapping or structural dependency graph.
7ep,deepseek,deepseek-chat,zero_shot,run_1,afferent_coupling_ac,,coupling,missing_required_data,v1,Missing component-to-service mapping or structural dependency graph.
7ep,deepseek,deepseek-chat,zero_shot,run_1,efferent_coupling_ec,,coupling,missing_required_data,v1,Missing component-to-service mapping or structural dependency graph.
7ep,deepseek,deepseek-chat,zero_shot,run_1,instability,,coupling,missing_required_data,v1,Missing AC/EC prerequisites: component-to-service mapping or structural dependencies.
7ep,deepseek,deepseek-chat,zero_shot,run_1,inter_microservices_coupling,,coupling,missing_required_data,v1,Missing component-to-service mapping or structural dependency graph.
7ep,deepseek,deepseek-chat,zero_shot,run_1,structural_modularity_quality_smq,,modularity,missing_required_data,v1,Missing structural cohesion or structural coupling prerequisites.
7ep,deepseek,deepseek-chat,zero_shot,run_1,interface_number_ifn,,modularity,missing_required_data,v1,Missing endpoints/interfaces or component-to-service mapping.
7ep,deepseek,deepseek-chat,zero_shot,run_1,non_extreme_distribution_ned,1.0,modularity,calculated_fallback,v1_textual_fallback,"Fallback size estimated from responsibility token count only; not structural service size. Bounds: min=5, max=20."
7ep,deepseek,deepseek-chat,zero_shot,run_1,business_context_purity_bcp,,domain,missing_required_data,v1,Missing requirement-to-service or feature-to-service mapping.
7ep,deepseek,deepseek-chat,zero_shot,run_1,requirement_service_semantic_alignment,0.018519,domain,calculated_fallback,v1_textual_fallback,Textual semantic alignment between service responsibilities and requirements; not real BCP.
7ep,deepseek,deepseek-chat,zero_shot,run_1,feature_modularization,,domain,missing_required_data,v1,Missing feature/requirement-to-service mapping.
7ep,deepseek,deepseek-chat,zero_shot,run_1,data_independence_da,,domain,missing_required_data,v1,Missing data-access map and component-to-service mapping.
7ep,deepseek,deepseek-chat,zero_shot,run_1,inter_call_percentage_icp,,runtime,missing_required_data,v1,Missing runtime logs and component-to-service mapping for real runtime calls.
7ep,deepseek,deepseek-chat,zero_shot,run_1,network_overhead,,runtime,missing_required_data,v1,Missing runtime logs or payload size information.
7ep,deepseek,deepseek-chat,zero_shot,run_1,process_fitness,,process,missing_required_data,v1,Missing process/event logs and process model.
7ep,deepseek,deepseek-chat,zero_shot,run_1,process_precision,,process,missing_required_data,v1,Missing process/event logs and behavioral model.
7ep,openai,gpt-5.5-2026-04-23,few_shot,run_1,number_of_microservices,4.0,basic,calculated,v1,
7ep,openai,gpt-5.5-2026-04-23,few_shot,run_1,number_of_communications,3.0,basic,calculated,v1,
7ep,openai,gpt-5.5-2026-04-23,few_shot,run_1,communication_density,0.25,coupling,calculated,v1,
7ep,openai,gpt-5.5-2026-04-23,few_shot,run_1,average_outgoing_communications,0.75,coupling,calculated,v1,
7ep,openai,gpt-5.5-2026-04-23,few_shot,run_1,isolated_services_count,1.0,basic,calculated,v1,
7ep,openai,gpt-5.5-2026-04-23,few_shot,run_1,isolated_services_ratio,0.25,basic,calculated,v1,
7ep,openai,gpt-5.5-2026-04-23,few_shot,run_1,average_responsibility_length,22.25,basic,calculated,v1,
7ep,openai,gpt-5.5-2026-04-23,few_shot,run_1,declared_inter_service_coupling,0.25,coupling,calculated,v1_textual_declared_graph,Calculated from declared communicates_with edges only; not structural coupling.
7ep,openai,gpt-5.5-2026-04-23,few_shot,run_1,cohesion_message_level_chm,,cohesion,missing_required_data,v1,Missing public-operation message signatures mapped to microservices.
7ep,openai,gpt-5.5-2026-04-23,few_shot,run_1,cohesion_domain_level_chd,,cohesion,missing_required_data,v1,Missing component-to-service mapping or internal artifact inventory.
7ep,openai,gpt-5.5-2026-04-23,few_shot,run_1,responsibility_domain_similarity,0.061495,cohesion,calculated_fallback,v1_textual_fallback,Calculated from responsibility text only; this is not real CHD.
7ep,openai,gpt-5.5-2026-04-23,few_shot,run_1,relational_cohesion_rc,,cohesion,missing_required_data,v1,Missing component-to-service mapping or structural dependency graph.
7ep,openai,gpt-5.5-2026-04-23,few_shot,run_1,afferent_coupling_ac,,coupling,missing_required_data,v1,Missing component-to-service mapping or structural dependency graph.
7ep,openai,gpt-5.5-2026-04-23,few_shot,run_1,efferent_coupling_ec,,coupling,missing_required_data,v1,Missing component-to-service mapping or structural dependency graph.
7ep,openai,gpt-5.5-2026-04-23,few_shot,run_1,instability,,coupling,missing_required_data,v1,Missing AC/EC prerequisites: component-to-service mapping or structural dependencies.
7ep,openai,gpt-5.5-2026-04-23,few_shot,run_1,inter_microservices_coupling,,coupling,missing_required_data,v1,Missing component-to-service mapping or structural dependency graph.
7ep,openai,gpt-5.5-2026-04-23,few_shot,run_1,structural_modularity_quality_smq,,modularity,missing_required_data,v1,Missing structural cohesion or structural coupling prerequisites.
7ep,openai,gpt-5.5-2026-04-23,few_shot,run_1,interface_number_ifn,,modularity,missing_required_data,v1,Missing endpoints/interfaces or component-to-service mapping.
7ep,openai,gpt-5.5-2026-04-23,few_shot,run_1,non_extreme_distribution_ned,0.5,modularity,calculated_fallback,v1_textual_fallback,"Fallback size estimated from responsibility token count only; not structural service size. Bounds: min=5, max=20."
7ep,openai,gpt-5.5-2026-04-23,few_shot,run_1,business_context_purity_bcp,,domain,missing_required_data,v1,Missing requirement-to-service or feature-to-service mapping.
7ep,openai,gpt-5.5-2026-04-23,few_shot,run_1,requirement_service_semantic_alignment,0.017428,domain,calculated_fallback,v1_textual_fallback,Textual semantic alignment between service responsibilities and requirements; not real BCP.
7ep,openai,gpt-5.5-2026-04-23,few_shot,run_1,feature_modularization,,domain,missing_required_data,v1,Missing feature/requirement-to-service mapping.
7ep,openai,gpt-5.5-2026-04-23,few_shot,run_1,data_independence_da,,domain,missing_required_data,v1,Missing data-access map and component-to-service mapping.
7ep,openai,gpt-5.5-2026-04-23,few_shot,run_1,inter_call_percentage_icp,,runtime,missing_required_data,v1,Missing runtime logs and component-to-service mapping for real runtime calls.
7ep,openai,gpt-5.5-2026-04-23,few_shot,run_1,network_overhead,,runtime,missing_required_data,v1,Missing runtime logs or payload size information.
7ep,openai,gpt-5.5-2026-04-23,few_shot,run_1,process_fitness,,process,missing_required_data,v1,Missing process/event logs and process model.
7ep,openai,gpt-5.5-2026-04-23,few_shot,run_1,process_precision,,process,missing_required_data,v1,Missing process/event logs and behavioral model.
7ep,openai,gpt-5.5-2026-04-23,zero_shot,run_1,number_of_microservices,4.0,basic,calculated,v1,
7ep,openai,gpt-5.5-2026-04-23,zero_shot,run_1,number_of_communications,3.0,basic,calculated,v1,
7ep,openai,gpt-5.5-2026-04-23,zero_shot,run_1,communication_density,0.25,coupling,calculated,v1,
7ep,openai,gpt-5.5-2026-04-23,zero_shot,run_1,average_outgoing_communications,0.75,coupling,calculated,v1,
7ep,openai,gpt-5.5-2026-04-23,zero_shot,run_1,isolated_services_count,1.0,basic,calculated,v1,
7ep,openai,gpt-5.5-2026-04-23,zero_shot,run_1,isolated_services_ratio,0.25,basic,calculated,v1,
7ep,openai,gpt-5.5-2026-04-23,zero_shot,run_1,average_responsibility_length,19.5,basic,calculated,v1,
7ep,openai,gpt-5.5-2026-04-23,zero_shot,run_1,declared_inter_service_coupling,0.25,coupling,calculated,v1_textual_declared_graph,Calculated from declared communicates_with edges only; not structural coupling.
7ep,openai,gpt-5.5-2026-04-23,zero_shot,run_1,cohesion_message_level_chm,,cohesion,missing_required_data,v1,Missing public-operation message signatures mapped to microservices.
7ep,openai,gpt-5.5-2026-04-23,zero_shot,run_1,cohesion_domain_level_chd,,cohesion,missing_required_data,v1,Missing component-to-service mapping or internal artifact inventory.
7ep,openai,gpt-5.5-2026-04-23,zero_shot,run_1,responsibility_domain_similarity,0.059817,cohesion,calculated_fallback,v1_textual_fallback,Calculated from responsibility text only; this is not real CHD.
7ep,openai,gpt-5.5-2026-04-23,zero_shot,run_1,relational_cohesion_rc,,cohesion,missing_required_data,v1,Missing component-to-service mapping or structural dependency graph.
7ep,openai,gpt-5.5-2026-04-23,zero_shot,run_1,afferent_coupling_ac,,coupling,missing_required_data,v1,Missing component-to-service mapping or structural dependency graph.
7ep,openai,gpt-5.5-2026-04-23,zero_shot,run_1,efferent_coupling_ec,,coupling,missing_required_data,v1,Missing component-to-service mapping or structural dependency graph.
7ep,openai,gpt-5.5-2026-04-23,zero_shot,run_1,instability,,coupling,missing_required_data,v1,Missing AC/EC prerequisites: component-to-service mapping or structural dependencies.
7ep,openai,gpt-5.5-2026-04-23,zero_shot,run_1,inter_microservices_coupling,,coupling,missing_required_data,v1,Missing component-to-service mapping or structural dependency graph.
7ep,openai,gpt-5.5-2026-04-23,zero_shot,run_1,structural_modularity_quality_smq,,modularity,missing_required_data,v1,Missing structural cohesion or structural coupling prerequisites.
7ep,openai,gpt-5.5-2026-04-23,zero_shot,run_1,interface_number_ifn,,modularity,missing_required_data,v1,Missing endpoints/interfaces or component-to-service mapping.
7ep,openai,gpt-5.5-2026-04-23,zero_shot,run_1,non_extreme_distribution_ned,1.0,modularity,calculated_fallback,v1_textual_fallback,"Fallback size estimated from responsibility token count only; not structural service size. Bounds: min=5, max=20."
7ep,openai,gpt-5.5-2026-04-23,zero_shot,run_1,business_context_purity_bcp,,domain,missing_required_data,v1,Missing requirement-to-service or feature-to-service mapping.
7ep,openai,gpt-5.5-2026-04-23,zero_shot,run_1,requirement_service_semantic_alignment,0.018481,domain,calculated_fallback,v1_textual_fallback,Textual semantic alignment between service responsibilities and requirements; not real BCP.
7ep,openai,gpt-5.5-2026-04-23,zero_shot,run_1,feature_modularization,,domain,missing_required_data,v1,Missing feature/requirement-to-service mapping.
7ep,openai,gpt-5.5-2026-04-23,zero_shot,run_1,data_independence_da,,domain,missing_required_data,v1,Missing data-access map and component-to-service mapping.
7ep,openai,gpt-5.5-2026-04-23,zero_shot,run_1,inter_call_percentage_icp,,runtime,missing_required_data,v1,Missing runtime logs and component-to-service mapping for real runtime calls.
7ep,openai,gpt-5.5-2026-04-23,zero_shot,run_1,network_overhead,,runtime,missing_required_data,v1,Missing runtime logs or payload size information.
7ep,openai,gpt-5.5-2026-04-23,zero_shot,run_1,process_fitness,,process,missing_required_data,v1,Missing process/event logs and process model.
7ep,openai,gpt-5.5-2026-04-23,zero_shot,run_1,process_precision,,process,missing_required_data,v1,Missing process/event logs and behavioral model.
acmeair,anthropic,claude-opus-4-8,few_shot,run_1,number_of_microservices,5.0,basic,calculated,v1,
acmeair,anthropic,claude-opus-4-8,few_shot,run_1,number_of_communications,13.0,basic,calculated,v1,
acmeair,anthropic,claude-opus-4-8,few_shot,run_1,communication_density,0.65,coupling,calculated,v1,
acmeair,anthropic,claude-opus-4-8,few_shot,run_1,average_outgoing_communications,2.6,coupling,calculated,v1,
acmeair,anthropic,claude-opus-4-8,few_shot,run_1,isolated_services_count,0.0,basic,calculated,v1,
acmeair,anthropic,claude-opus-4-8,few_shot,run_1,isolated_services_ratio,0.0,basic,calculated,v1,
acmeair,anthropic,claude-opus-4-8,few_shot,run_1,average_responsibility_length,22.0,basic,calculated,v1,
acmeair,anthropic,claude-opus-4-8,few_shot,run_1,declared_inter_service_coupling,0.65,coupling,calculated,v1_textual_declared_graph,Calculated from declared communicates_with edges only; not structural coupling.
acmeair,anthropic,claude-opus-4-8,few_shot,run_1,cohesion_message_level_chm,,cohesion,missing_required_data,v1,Missing public-operation message signatures mapped to microservices.
acmeair,anthropic,claude-opus-4-8,few_shot,run_1,cohesion_domain_level_chd,,cohesion,missing_required_data,v1,Missing component-to-service mapping or internal artifact inventory.
acmeair,anthropic,claude-opus-4-8,few_shot,run_1,responsibility_domain_similarity,0.072879,cohesion,calculated_fallback,v1_textual_fallback,Calculated from responsibility text only; this is not real CHD.
acmeair,anthropic,claude-opus-4-8,few_shot,run_1,relational_cohesion_rc,,cohesion,missing_required_data,v1,Missing component-to-service mapping or structural dependency graph.
acmeair,anthropic,claude-opus-4-8,few_shot,run_1,afferent_coupling_ac,,coupling,missing_required_data,v1,Missing component-to-service mapping or structural dependency graph.
acmeair,anthropic,claude-opus-4-8,few_shot,run_1,efferent_coupling_ec,,coupling,missing_required_data,v1,Missing component-to-service mapping or structural dependency graph.
acmeair,anthropic,claude-opus-4-8,few_shot,run_1,instability,,coupling,missing_required_data,v1,Missing AC/EC prerequisites: component-to-service mapping or structural dependencies.
acmeair,anthropic,claude-opus-4-8,few_shot,run_1,inter_microservices_coupling,,coupling,missing_required_data,v1,Missing component-to-service mapping or structural dependency graph.
acmeair,anthropic,claude-opus-4-8,few_shot,run_1,structural_modularity_quality_smq,,modularity,missing_required_data,v1,Missing structural cohesion or structural coupling prerequisites.
acmeair,anthropic,claude-opus-4-8,few_shot,run_1,interface_number_ifn,,modularity,missing_required_data,v1,Missing endpoints/interfaces or component-to-service mapping.
acmeair,anthropic,claude-opus-4-8,few_shot,run_1,non_extreme_distribution_ned,0.8,modularity,calculated_fallback,v1_textual_fallback,"Fallback size estimated from responsibility token count only; not structural service size. Bounds: min=5, max=20."
acmeair,anthropic,claude-opus-4-8,few_shot,run_1,business_context_purity_bcp,,domain,missing_required_data,v1,Missing requirement-to-service or feature-to-service mapping.
acmeair,anthropic,claude-opus-4-8,few_shot,run_1,requirement_service_semantic_alignment,0.023543,domain,calculated_fallback,v1_textual_fallback,Textual semantic alignment between service responsibilities and requirements; not real BCP.
acmeair,anthropic,claude-opus-4-8,few_shot,run_1,feature_modularization,,domain,missing_required_data,v1,Missing feature/requirement-to-service mapping.
acmeair,anthropic,claude-opus-4-8,few_shot,run_1,data_independence_da,,domain,missing_required_data,v1,Missing data-access map and component-to-service mapping.
acmeair,anthropic,claude-opus-4-8,few_shot,run_1,inter_call_percentage_icp,,runtime,missing_required_data,v1,Missing runtime logs and component-to-service mapping for real runtime calls.
acmeair,anthropic,claude-opus-4-8,few_shot,run_1,network_overhead,,runtime,missing_required_data,v1,Missing runtime logs or payload size information.
acmeair,anthropic,claude-opus-4-8,few_shot,run_1,process_fitness,,process,missing_required_data,v1,Missing process/event logs and process model.
acmeair,anthropic,claude-opus-4-8,few_shot,run_1,process_precision,,process,missing_required_data,v1,Missing process/event logs and behavioral model.
acmeair,anthropic,claude-opus-4-8,zero_shot,run_1,number_of_microservices,5.0,basic,calculated,v1,
acmeair,anthropic,claude-opus-4-8,zero_shot,run_1,number_of_communications,9.0,basic,calculated,v1,
acmeair,anthropic,claude-opus-4-8,zero_shot,run_1,communication_density,0.45,coupling,calculated,v1,
acmeair,anthropic,claude-opus-4-8,zero_shot,run_1,average_outgoing_communications,1.8,coupling,calculated,v1,
acmeair,anthropic,claude-opus-4-8,zero_shot,run_1,isolated_services_count,0.0,basic,calculated,v1,
acmeair,anthropic,claude-opus-4-8,zero_shot,run_1,isolated_services_ratio,0.0,basic,calculated,v1,
acmeair,anthropic,claude-opus-4-8,zero_shot,run_1,average_responsibility_length,33.6,basic,calculated,v1,
