project,provider,model,prompt,generated_services,reference_services,service_tp,service_fp,service_fn,service_precision,service_recall,service_f1,generated_communications,reference_communications,communication_tp,communication_fp,communication_fn,communication_precision,communication_recall,communication_f1,combined_precision,combined_recall,combined_f1
jpetstore,OpenAI,gpt-5.5-2026-04-23,few_shot,3,6,3,0,3,1.0,0.5,0.6666666666666666,6,9,2,4,7,0.3333333333333333,0.2222222222222222,0.26666666666666666,0.5555555555555556,0.3333333333333333,0.4166666666666667
jpetstore,Claude,claude-opus-4-8,zero_shot,4,6,4,0,2,1.0,0.6666666666666666,0.8,10,9,4,6,5,0.4,0.4444444444444444,0.4210526315789474,0.5714285714285714,0.5333333333333333,0.5517241379310344
jpetstore,Claude,claude-opus-4-8,few_shot,3,6,3,0,3,1.0,0.5,0.6666666666666666,5,9,2,3,7,0.4,0.2222222222222222,0.2857142857142857,0.625,0.3333333333333333,0.43478260869565216
pet-clinic,DeepSeek,deepseek-chat,zero_shot,4,4,3,1,1,0.75,0.75,0.75,7,4,2,5,2,0.2857142857142857,0.5,0.36363636363636365,0.45454545454545453,0.625,0.5263157894736842
pet-clinic,DeepSeek,deepseek-chat,few_shot,4,4,4,0,0,1.0,1.0,1.0,8,4,4,4,0,0.5,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8
pet-clinic,OpenAI,gpt-5.5-2026-04-23,zero_shot,2,4,2,0,2,1.0,0.5,0.6666666666666666,2,4,0,2,4,0.0,0.0,0.0,0.5,0.25,0.3333333333333333
pet-clinic,OpenAI,gpt-5.5-2026-04-23,few_shot,3,4,3,0,1,1.0,0.75,0.8571428571428571,4,4,2,2,2,0.5,0.5,0.5,0.7142857142857143,0.625,0.6666666666666666
pet-clinic,Claude,claude-opus-4-8,zero_shot,3,4,2,1,2,0.6666666666666666,0.5,0.5714285714285715,4,4,0,4,4,0.0,0.0,0.0,0.2857142857142857,0.25,0.26666666666666666
pet-clinic,Claude,claude-opus-4-8,few_shot,2,4,2,0,2,1.0,0.5,0.6666666666666666,2,4,0,2,4,0.0,0.0,0.0,0.5,0.25,0.3333333333333333
TNTConcept,DeepSeek,deepseek-chat,zero_shot,14,14,9,5,5,0.6428571428571429,0.6428571428571429,0.6428571428571429,47,38,16,31,22,0.3404255319148936,0.42105263157894735,0.3764705882352941,0.4098360655737705,0.4807692307692308,0.44247787610619466
TNTConcept,DeepSeek,deepseek-chat,few_shot,8,14,7,1,7,0.875,0.5,0.6363636363636364,21,38,7,14,31,0.3333333333333333,0.18421052631578946,0.23728813559322035,0.4827586206896552,0.2692307692307692,0.345679012345679
TNTConcept,OpenAI,gpt-5.5-2026-04-23,zero_shot,9,14,7,2,7,0.7777777777777778,0.5,0.6086956521739131,48,38,11,37,27,0.22916666666666666,0.2894736842105263,0.2558139534883721,0.3157894736842105,0.34615384615384615,0.33027522935779813
TNTConcept,OpenAI,gpt-5.5-2026-04-23,few_shot,9,14,9,0,5,1.0,0.6428571428571429,0.782608695652174,52,38,16,36,22,0.3076923076923077,0.42105263157894735,0.35555555555555557,0.4098360655737705,0.4807692307692308,0.44247787610619466
TNTConcept,Claude,claude-opus-4-8,zero_shot,11,14,11,0,3,1.0,0.7857142857142857,0.88,42,38,16,26,22,0.38095238095238093,0.42105263157894735,0.4,0.5094339622641509,0.5192307692307693,0.5142857142857143
TNTConcept,Claude,claude-opus-4-8,few_shot,10,14,9,1,5,0.9,0.6428571428571429,0.75,32,38,12,20,26,0.375,0.3157894736842105,0.34285714285714286,0.5,0.40384615384615385,0.44680851063829785
